|Category|Medium|Signature|Image Size|img_url|Title|Artist Name|Year Created|Surface|Substrate|image_file
0|3D Edition|Bronze|Yes|51.4 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/16369e955ad5a7a7e7aa81cd75cf9d66.jpg|Meditation|ALEXANDER ARCHIPENKO||||images/alexander_archipenko/16369e955ad5a7a7e7aa81cd75cf9d66.jpg
1|3D Edition|Bronze|Yes|28 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/d6e4727b04c4c3f432144b690b4614ba.jpg|Turning Torso|ALEXANDER ARCHIPENKO|1966|||images/alexander_archipenko/d6e4727b04c4c3f432144b690b4614ba.jpg
2|3D Edition|Bronze|Yes|41 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6b9cbb6a450d19cc9ce660c428ffbc80.jpg|Walking|ALEXANDER ARCHIPENKO||||images/alexander_archipenko/6b9cbb6a450d19cc9ce660c428ffbc80.jpg
3|3D Edition|Bronze|Yes|116.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/acb0eda6a4e93cb65620b9a6e7d758be.jpg|Walking Soldier|ALEXANDER ARCHIPENKO|1968|||images/alexander_archipenko/acb0eda6a4e93cb65620b9a6e7d758be.jpg
4|2D||Yes|38.5 x 26.3 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/737131322096055d50cef35b2ad65130.jpg|UNTITLED|ALEXANDER ARCHIPENKO|1921|Pen, Brush, Coloured Inks, Gouache|Paper|images/alexander_archipenko/737131322096055d50cef35b2ad65130.jpg
5|3D|Terracotta|Unknown|18 x 54 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1a39fd57838de50e2bc28fcac521ef07.jpg|Torso in Space (Horizontaler Torso)|ALEXANDER ARCHIPENKO|1935|||images/alexander_archipenko/1a39fd57838de50e2bc28fcac521ef07.jpg
6|3D|Terracotta|Unknown|38 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/54dea608aa32427163c8fa92e5f6fe52.jpg|FEMME ASSISE|ALEXANDER ARCHIPENKO|1912|||images/alexander_archipenko/54dea608aa32427163c8fa92e5f6fe52.jpg
7|3D|White Marble|Yes|27.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/47662b21ee6a93c021d50da7245ed66a.jpg|Symmetrical Torso|ALEXANDER ARCHIPENKO|1921|||images/alexander_archipenko/47662b21ee6a93c021d50da7245ed66a.jpg
8|2D||Yes|13.5 x 9.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/fc087c07a5272d757bed2715fdb1ade3.jpg|Study of two figures|ALEXANDER ARCHIPENKO||Pencil|Paper|images/alexander_archipenko/fc087c07a5272d757bed2715fdb1ade3.jpg
9|2D||Yes|22.38 x 14.12 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a8e2f1f3202f8e399f8e1976116e962a.jpg|Nude, Eyes Downcast|ALEXANDER ARCHIPENKO|1930|Pencil|Heavy card paper|images/alexander_archipenko/a8e2f1f3202f8e399f8e1976116e962a.jpg
10|2D||Yes|22.38 x 14.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0d6f4e4493546dc6a90328ed55ee6cdb.jpg|Seated Nude with Drapery|ALEXANDER ARCHIPENKO|1925|Pencil|Heavy card paper|images/alexander_archipenko/0d6f4e4493546dc6a90328ed55ee6cdb.jpg
11|2D||Yes|12.5 x 9.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3b028077cca63d39054d40ed08bc22fd.jpg|COMPOSITION CUBISTE|ALEXANDER ARCHIPENKO||Gouache, Pencil|Paper|images/alexander_archipenko/3b028077cca63d39054d40ed08bc22fd.jpg
12|2D||Yes|12.5 x 9.13 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1ca124337027c4e6c6a0dada6961e80b.jpg|Composition cubiste|ALEXANDER ARCHIPENKO||Gouache, Pencil|Paper|images/alexander_archipenko/1ca124337027c4e6c6a0dada6961e80b.jpg
13|2D||Yes|50 x 32 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0d25d9b1b62c6f01b6110c44bc8970d3.jpg|Standing nude. Circa|ALEXANDER ARCHIPENKO|1919|Chalk, Pencil|Paper|images/alexander_archipenko/0d25d9b1b62c6f01b6110c44bc8970d3.jpg
14|2D||Yes|50 x 33 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/10ac80a478c1bd27e28d891337ae2be9.jpg|Standing nude. Circa|ALEXANDER ARCHIPENKO|1919|Chalk, Pencil|Paper|images/alexander_archipenko/10ac80a478c1bd27e28d891337ae2be9.jpg
15|2D||Yes||https://artbnk-art-resized-images.s3.amazonaws.com/w526/857f7bf8bef3d15048dbc42e9ed0e8a3.jpg|COMPOSITION: TWO FIGURES|ALEXANDER ARCHIPENKO|1913|Brush, Ink, Gouache, Collage|Paper|images/alexander_archipenko/857f7bf8bef3d15048dbc42e9ed0e8a3.jpg
16|2D||Yes|13 x 35 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/296819286c6641dac46b7dcf66fea1a1.jpg|Torso in Space|ALEXANDER ARCHIPENKO|1952|Oil, gold paint, Gouache, colored chalk|Silk|images/alexander_archipenko/296819286c6641dac46b7dcf66fea1a1.jpg
17|2D||Yes|14 x 22 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e6511c1c053618896dc82a2b12f60a0a.jpg|Untitled (Two seated females)|ALEXANDER ARCHIPENKO|1931|Gouache|Paper|images/alexander_archipenko/e6511c1c053618896dc82a2b12f60a0a.jpg
18|2D||Yes|14 x 20.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5b0fa7bb52382b76ee0d8bf0ddefba1b.jpg|Nu assis|ALEXANDER ARCHIPENKO||white chalk, Pen, Ink|Card|images/alexander_archipenko/5b0fa7bb52382b76ee0d8bf0ddefba1b.jpg
19|2D||Yes|14.625 x 10.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b99a5a2094c46c1057d5866ff10e9ef1.jpg|Composition|ALEXANDER ARCHIPENKO|1962|Gouache, Brush, Black Ink, Pencil|Paper|images/alexander_archipenko/b99a5a2094c46c1057d5866ff10e9ef1.jpg
20|2D||Yes|60.125 x 26.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f76cf2661b7c5e641a145a68421639c2.jpg|WOMAN DRAPED IN WHITE|ALEXANDER ARCHIPENKO|1924|Oil|Canvas|images/alexander_archipenko/f76cf2661b7c5e641a145a68421639c2.jpg
21|2D||Yes|12.25 x 15.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/708901706649694ddd2360a3f4d93e81.jpg|NATURE MORTE|ALEXANDER ARCHIPENKO|1918|Watercolor, Gouache, Pencil|Paper|images/alexander_archipenko/708901706649694ddd2360a3f4d93e81.jpg
22|2D||Yes|18.25 x 40.375 inch|https://artbnk-art-images.s3.amazonaws.com/bb313784c6cb2dd3ad22829a11b33fe7.jpg|TORSO IN SPACE|ALEXANDER ARCHIPENKO|1952|Oil, gold paint, Gouache, colored chalk|Silk|images/alexander_archipenko/bb313784c6cb2dd3ad22829a11b33fe7.jpg
23|2D||Yes|15.25 x 10.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/96f455dc45fc3599fd5a15b50568872e.jpg|STILL LIFE|ALEXANDER ARCHIPENKO||Gouache, Brush, Ink|Paper|images/alexander_archipenko/96f455dc45fc3599fd5a15b50568872e.jpg
24|2D||Yes|39.8 x 28.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e8eb5c38e4adf9227d977de85a18354c.jpg|CARAFE|ALEXANDER ARCHIPENKO|1921|Oil, Papier|Panel|images/alexander_archipenko/e8eb5c38e4adf9227d977de85a18354c.jpg
25|2D||Yes|12.25 x 9.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3f7c1bdc3cc6246f72a5559354c416a4.jpg|COMPOSITION (FEMME ASSISE)|ALEXANDER ARCHIPENKO|1920|Gouache|Paper|images/alexander_archipenko/3f7c1bdc3cc6246f72a5559354c416a4.jpg
26|2D||Yes|22.5 x 14.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/09a12156231337fa2da39bb7501aaa05.jpg|Femme au bras levé|ALEXANDER ARCHIPENKO|1930|Watercolor, Brush, Black Ink, Red Pencil|Paper|images/alexander_archipenko/09a12156231337fa2da39bb7501aaa05.jpg
27|2D||Yes|11.5 x 9.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/beac2092aad7c91227aeb0a9e23c1418.jpg|Femme|ALEXANDER ARCHIPENKO|1919|Watercolor, Colored Pencils, Chalk|Buff paper|images/alexander_archipenko/beac2092aad7c91227aeb0a9e23c1418.jpg
28|2D||Yes|22 x 16 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b738306683dd3036baa84d2441abe068.jpg|PORTRAIT OF A WOMAN|ALEXANDER ARCHIPENKO|1928|Oil|Panel|images/alexander_archipenko/b738306683dd3036baa84d2441abe068.jpg
29|2D||Yes|22.875 x 14.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3defe589f739addff1c43539ee718d47.jpg|Nude in Gray|ALEXANDER ARCHIPENKO||Pen, India Ink, Pencil|Paper|images/alexander_archipenko/3defe589f739addff1c43539ee718d47.jpg
30|2D||Yes|16 x 14.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c4bde29045b280fa151dad913198942b.jpg|Reclining Female Nude|ALEXANDER ARCHIPENKO|1920|Pencil|Paper|images/alexander_archipenko/c4bde29045b280fa151dad913198942b.jpg
31|2D||Yes|30 x 20.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6e0ab9d4884f5bf40c0f417c3af93711.jpg|Torse|ALEXANDER ARCHIPENKO||Oil|Canvas|images/alexander_archipenko/6e0ab9d4884f5bf40c0f417c3af93711.jpg
32|2D||Yes|55 x 30 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c507d741d72ee431b0b43328d66dfcb8.jpg|ÉTUDE|ALEXANDER ARCHIPENKO||Crayon|Papier|images/alexander_archipenko/c507d741d72ee431b0b43328d66dfcb8.jpg
33|2D||Yes|12.5 x 9.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c65ebc3a1b13f2ef6636a8bab05d3de8.jpg|Standing woman (Sketch for sculpto-painting)|ALEXANDER ARCHIPENKO|1917|Gouache, Watercolour|Paper|images/alexander_archipenko/c65ebc3a1b13f2ef6636a8bab05d3de8.jpg
34|2D||Yes|19.5 x 12.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5ed1df1cc7a698b7ac7f5f26d44fc882.jpg|Nu debout|ALEXANDER ARCHIPENKO|1925|Pencil|Paper|images/alexander_archipenko/5ed1df1cc7a698b7ac7f5f26d44fc882.jpg
35|2D||Yes|22.25 x 28.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/972ea937abcca70b19f97a241c72ce2e.jpg|Nue allongeé|ALEXANDER ARCHIPENKO|1938|Oil, Gouache, Brush, India Ink, Colored Wax Crayons|Board|images/alexander_archipenko/972ea937abcca70b19f97a241c72ce2e.jpg
36|2D||Yes|16.625 x 12.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/34190bcbc87c6f719ecb04eee64517c2.jpg|Nu debout|ALEXANDER ARCHIPENKO|1922|Pencil|Paper|images/alexander_archipenko/34190bcbc87c6f719ecb04eee64517c2.jpg
37|2D||Yes|22.5 x 17.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/36ddbb554ffbba16e1b8815c3f2feb9d.jpg|FIGURE STUDY|ALEXANDER ARCHIPENKO|1923|Charcoal|Paper|images/alexander_archipenko/36ddbb554ffbba16e1b8815c3f2feb9d.jpg
38|2D||Yes|15.625 x 11 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/22165999080a24c0cb21d5147b3eee74.jpg|Family group - Figures in movement|ALEXANDER ARCHIPENKO|1912|Watercolour|Paper|images/alexander_archipenko/22165999080a24c0cb21d5147b3eee74.jpg
39|2D||Yes|12.875 x 19 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/db10b3d9ca5d8ed94d90bc03ab86c5da.jpg|Stilleben mit Krug, Glas und Teller|ALEXANDER ARCHIPENKO|1920|Crayon|Paper|images/alexander_archipenko/db10b3d9ca5d8ed94d90bc03ab86c5da.jpg
40|2D||Yes|11.75 x 8.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4af282aeb06a3afecccbdf4ce06f4af0.jpg|Vase de fleurs|ALEXANDER ARCHIPENKO||Paper, Oil|Panel|images/alexander_archipenko/4af282aeb06a3afecccbdf4ce06f4af0.jpg
